seq_num,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps
2114,-0.011224,-0.011712,1.029192,0.210000,-2.030000,-0.350000
2115,-0.009760,-0.012200,1.030168,0.140000,-2.030000,-0.350000
2116,-0.009760,-0.012688,1.029192,0.140000,-2.170000,-0.350000
2117,-0.012200,-0.011224,1.030168,0.210000,-2.100000,-0.280000
2118,-0.011712,-0.010736,1.029192,0.140000,-2.030000,-0.420000
2119,-0.010736,-0.012200,1.030168,0.140000,-2.100000,-0.490000
2120,-0.011224,-0.010248,1.027240,0.140000,-2.170000,-0.350000
2121,-0.011712,-0.011224,1.028704,0.210000,-2.030000,-0.350000
2122,-0.009272,-0.009760,1.029192,0.140000,-2.030000,-0.420000
2123,-0.008784,-0.009760,1.028704,0.070000,-2.100000,-0.350000
2124,-0.011224,-0.013664,1.032608,0.140000,-2.030000,-0.350000
2125,-0.009272,-0.008784,1.029192,0.140000,-2.100000,-0.350000
2126,-0.010736,-0.009272,1.030168,0.140000,-2.030000,-0.350000
2127,-0.009272,-0.011712,1.028704,0.140000,-2.030000,-0.350000
2128,-0.009272,-0.010736,1.029680,0.210000,-2.100000,-0.350000
2129,-0.011224,-0.010248,1.030168,0.210000,-2.100000,-0.350000
2130,-0.011224,-0.010736,1.030168,0.280000,-2.100000,-0.350000
2131,-0.010736,-0.012200,1.028216,0.140000,-2.100000,-0.350000
2132,-0.010248,-0.013176,1.029192,0.210000,-2.100000,-0.420000
2133,-0.011224,-0.010736,1.029192,0.140000,-2.030000,-0.350000
2134,-0.011224,-0.010736,1.028216,0.210000,-2.030000,-0.420000
2135,-0.012688,-0.011712,1.028704,0.140000,-2.030000,-0.280000
2136,-0.008784,-0.009272,1.030168,0.140000,-2.030000,-0.350000
2137,-0.009272,-0.011224,1.028704,0.210000,-1.960000,-0.350000
2138,-0.009760,-0.012688,1.030168,0.140000,-2.100000,-0.350000
2139,-0.009272,-0.012200,1.029680,0.070000,-2.100000,-0.350000
2140,-0.010736,-0.008784,1.027728,0.140000,-2.100000,-0.350000
2141,-0.009760,-0.008296,1.030656,0.210000,-2.100000,-0.350000
2142,-0.013176,-0.011712,1.028216,0.140000,-1.960000,-0.350000
2143,-0.012688,-0.010736,1.029192,0.210000,-1.890000,-0.350000
2144,-0.011712,-0.012200,1.029680,0.140000,-2.030000,-0.280000
2145,-0.011224,-0.012200,1.029680,0.140000,-1.960000,-0.420000
2146,-0.011712,-0.010248,1.027728,0.070000,-2.030000,-0.420000
2147,-0.008296,-0.011224,1.030656,0.210000,-1.960000,-0.350000
2148,-0.009272,-0.010736,1.030168,0.140000,-2.100000,-0.420000
2149,-0.010736,-0.009760,1.029680,0.140000,-2.030000,-0.420000
2150,-0.008784,-0.010736,1.029192,0.140000,-2.030000,-0.350000
2151,-0.010248,-0.006832,1.030656,0.140000,-1.960000,-0.350000
